condition,A,W,rep,side,mt_ms,hit
1,450,50,1,L,1206.7,1
1,450,50,2,R,952.0,1
1,450,50,3,L,937.6,1
1,450,50,4,R,899.3,1
1,450,50,5,L,854.6,1
1,450,50,6,R,779.6,1
1,450,50,7,L,914.5,1
1,450,50,8,R,959.7,1
1,450,50,9,L,771.8,1
1,450,50,10,R,660.5,1
2,150,20,1,L,1034.0,1
2,150,20,2,R,914.8,1
2,150,20,3,L,794.8,1
2,150,20,4,R,666.9,1
2,150,20,5,L,982.1,1
2,150,20,6,R,727.3,1
2,150,20,7,L,854.5,1
2,150,20,8,R,720.0,1
2,150,20,9,L,772.2,1
2,150,20,10,R,765.1,1
3,300,20,1,R,907.4,1
3,300,20,2,L,839.9,1
3,300,20,3,R,651.5,1
3,300,20,4,L,712.5,1
3,300,20,5,R,929.7,1
3,300,20,6,L,794.8,1
3,300,20,7,R,711.6,1
3,300,20,8,L,1267.4,1
3,300,20,9,R,697.2,1
3,300,20,10,L,764.3,1
4,450,20,1,L,1004.2,1
4,450,20,2,R,937.3,1
4,450,20,3,L,885.1,1
4,450,20,4,R,1011.6,1
4,450,20,5,L,967.7,1
4,450,20,6,R,1019.7,1
4,450,20,7,L,907.1,1
4,450,20,8,R,922.0,1
4,450,20,9,L,1004.6,1
4,450,20,10,R,757.9,1
5,150,100,1,R,651.9,1
5,150,100,2,L,659.6,1
5,150,100,3,R,487.2,1
5,150,100,4,L,434.6,1
5,150,100,5,R,412.3,1
5,150,100,6,L,449.5,1
5,150,100,7,R,404.5,1
5,150,100,8,L,458.1,1
5,150,100,9,R,396.5,1
5,150,100,10,L,487.0,1
6,150,50,1,L,869.5,1
6,150,50,2,R,547.3,1
6,150,50,3,L,570.2,1
6,150,50,4,R,411.6,1
6,150,50,5,L,547.7,1
6,150,50,6,R,561.8,1
6,150,50,7,L,494.1,1
6,150,50,8,R,584.9,1
6,150,50,9,L,479.4,1
6,150,50,10,R,555.5,1
7,300,100,1,L,644.5,1
7,300,100,2,R,634.3,1
7,300,100,3,L,460.8,1
7,300,100,4,R,508.8,1
7,300,100,5,L,577.6,1
7,300,100,6,R,562.5,1
7,300,100,7,L,546.9,1
7,300,100,8,R,554.9,1
7,300,100,9,L,516.9,1
7,300,100,10,R,495.1,1
8,300,50,1,L,705.6,1
8,300,50,2,R,801.0,1
8,300,50,3,L,720.2,1
8,300,50,4,R,1679.1,1
8,300,50,5,L,727.3,1
8,300,50,6,R,615.1,1
8,300,50,7,L,614.8,1
8,300,50,8,R,756.8,1
8,300,50,9,L,943.1,1
8,300,50,10,R,914.6,1
9,450,100,1,L,787.4,1
9,450,100,2,R,682.8,1
9,450,100,3,L,846.3,1
9,450,100,4,R,644.9,1
9,450,100,5,L,809.4,1
9,450,100,6,R,600.4,1
9,450,100,7,L,501.8,1
9,450,100,8,R,1012.2,1
9,450,100,9,L,757.8,1
9,450,100,10,R,637.2,1
